input_path,input_name,group_label,sequence_index,sequence_key,source_name,video_name,clip_name,source_path,source_file,num_frames
collection/ruiheadstudio/flame_collections/talkshow/project_converted_exp.npy,project_converted_exp,talkshow,0,project_converted_exp::seq_00000,2nd_Order_Rate_Laws-6BZb96mqmbg.mp4__68891-00_01_40-00_01_46,2nd_Order_Rate_Laws-6BZb96mqmbg.mp4,68891-00_01_40-00_01_46,talkshow/ExpressiveWholeBodyDatasetReleaseV1.0/chemistry/2nd_Order_Rate_Laws-6BZb96mqmbg.mp4/68891-00_01_40-00_01_46/68891-00_01_40-00_01_46.pkl,68891-00_01_40-00_01_46.pkl,180
collection/ruiheadstudio/flame_collections/talkshow/project_converted_exp.npy,project_converted_exp,talkshow,1,project_converted_exp::seq_00001,Ion_Energy_Levels_Quiz-V-FBHIdXk20.mkv__67729-00_03_04-00_03_14,Ion_Energy_Levels_Quiz-V-FBHIdXk20.mkv,67729-00_03_04-00_03_14,talkshow/ExpressiveWholeBodyDatasetReleaseV1.0/chemistry/Ion_Energy_Levels_Quiz-V-FBHIdXk20.mkv/67729-00_03_04-00_03_14/67729-00_03_04-00_03_14.pkl,67729-00_03_04-00_03_14.pkl,300
collection/ruiheadstudio/flame_collections/talkshow/project_converted_exp.npy,project_converted_exp,talkshow,2,project_converted_exp::seq_00002,Ion_Energy_Levels_Quiz-V-FBHIdXk20.mkv__67729-00_03_14-00_03_19,Ion_Energy_Levels_Quiz-V-FBHIdXk20.mkv,67729-00_03_14-00_03_19,talkshow/ExpressiveWholeBodyDatasetReleaseV1.0/chemistry/Ion_Energy_Levels_Quiz-V-FBHIdXk20.mkv/67729-00_03_14-00_03_19/67729-00_03_14-00_03_19.pkl,67729-00_03_14-00_03_19.pkl,150
collection/ruiheadstudio/flame_collections/talkshow/synthetic_aug/aug_pose_mix_01.npy,aug_pose_mix_01,synthetic_aug,0,aug_pose_mix_01::seq_00000,synthetic_medium_01__68891-00_01_40-00_01_46_aug_01,synthetic_medium_01,68891-00_01_40-00_01_46_aug_01,talkshow/ExpressiveWholeBodyDatasetReleaseV1.0/chemistry/2nd_Order_Rate_Laws-6BZb96mqmbg.mp4/68891-00_01_40-00_01_46/68891-00_01_40-00_01_46.pkl,68891-00_01_40-00_01_46.pkl,180
collection/ruiheadstudio/flame_collections/talkshow/synthetic_aug/aug_pose_mix_01.npy,aug_pose_mix_01,synthetic_aug,1,aug_pose_mix_01::seq_00001,synthetic_medium_01__67729-00_03_04-00_03_14_aug_02,synthetic_medium_01,67729-00_03_04-00_03_14_aug_02,talkshow/ExpressiveWholeBodyDatasetReleaseV1.0/chemistry/Ion_Energy_Levels_Quiz-V-FBHIdXk20.mkv/67729-00_03_04-00_03_14/67729-00_03_04-00_03_14.pkl,67729-00_03_04-00_03_14.pkl,300
collection/ruiheadstudio/flame_collections/talkshow/synthetic_aug/aug_pose_mix_01.npy,aug_pose_mix_01,synthetic_aug,2,aug_pose_mix_01::seq_00002,synthetic_medium_01__67729-00_03_14-00_03_19_aug_03,synthetic_medium_01,67729-00_03_14-00_03_19_aug_03,talkshow/ExpressiveWholeBodyDatasetReleaseV1.0/chemistry/Ion_Energy_Levels_Quiz-V-FBHIdXk20.mkv/67729-00_03_14-00_03_19/67729-00_03_14-00_03_19.pkl,67729-00_03_14-00_03_19.pkl,150
collection/ruiheadstudio/flame_collections/talkshow/synthetic_aug/aug_pose_mix_02.npy,aug_pose_mix_02,synthetic_aug,0,aug_pose_mix_02::seq_00000,synthetic_medium_02__68891-00_01_40-00_01_46_aug_01,synthetic_medium_02,68891-00_01_40-00_01_46_aug_01,talkshow/ExpressiveWholeBodyDatasetReleaseV1.0/chemistry/2nd_Order_Rate_Laws-6BZb96mqmbg.mp4/68891-00_01_40-00_01_46/68891-00_01_40-00_01_46.pkl,68891-00_01_40-00_01_46.pkl,180
collection/ruiheadstudio/flame_collections/talkshow/synthetic_aug/aug_pose_mix_02.npy,aug_pose_mix_02,synthetic_aug,1,aug_pose_mix_02::seq_00001,synthetic_medium_02__67729-00_03_04-00_03_14_aug_02,synthetic_medium_02,67729-00_03_04-00_03_14_aug_02,talkshow/ExpressiveWholeBodyDatasetReleaseV1.0/chemistry/Ion_Energy_Levels_Quiz-V-FBHIdXk20.mkv/67729-00_03_04-00_03_14/67729-00_03_04-00_03_14.pkl,67729-00_03_04-00_03_14.pkl,300
collection/ruiheadstudio/flame_collections/talkshow/synthetic_aug/aug_pose_mix_02.npy,aug_pose_mix_02,synthetic_aug,2,aug_pose_mix_02::seq_00002,synthetic_medium_02__67729-00_03_14-00_03_19_aug_03,synthetic_medium_02,67729-00_03_14-00_03_19_aug_03,talkshow/ExpressiveWholeBodyDatasetReleaseV1.0/chemistry/Ion_Energy_Levels_Quiz-V-FBHIdXk20.mkv/67729-00_03_14-00_03_19/67729-00_03_14-00_03_19.pkl,67729-00_03_14-00_03_19.pkl,150
collection/ruiheadstudio/flame_collections/talkshow/synthetic_aug/aug_pose_mix_03.npy,aug_pose_mix_03,synthetic_aug,0,aug_pose_mix_03::seq_00000,synthetic_medium_03__68891-00_01_40-00_01_46_aug_01,synthetic_medium_03,68891-00_01_40-00_01_46_aug_01,talkshow/ExpressiveWholeBodyDatasetReleaseV1.0/chemistry/2nd_Order_Rate_Laws-6BZb96mqmbg.mp4/68891-00_01_40-00_01_46/68891-00_01_40-00_01_46.pkl,68891-00_01_40-00_01_46.pkl,180
collection/ruiheadstudio/flame_collections/talkshow/synthetic_aug/aug_pose_mix_03.npy,aug_pose_mix_03,synthetic_aug,1,aug_pose_mix_03::seq_00001,synthetic_medium_03__67729-00_03_04-00_03_14_aug_02,synthetic_medium_03,67729-00_03_04-00_03_14_aug_02,talkshow/ExpressiveWholeBodyDatasetReleaseV1.0/chemistry/Ion_Energy_Levels_Quiz-V-FBHIdXk20.mkv/67729-00_03_04-00_03_14/67729-00_03_04-00_03_14.pkl,67729-00_03_04-00_03_14.pkl,300
collection/ruiheadstudio/flame_collections/talkshow/synthetic_aug/aug_pose_mix_03.npy,aug_pose_mix_03,synthetic_aug,2,aug_pose_mix_03::seq_00002,synthetic_medium_03__67729-00_03_14-00_03_19_aug_03,synthetic_medium_03,67729-00_03_14-00_03_19_aug_03,talkshow/ExpressiveWholeBodyDatasetReleaseV1.0/chemistry/Ion_Energy_Levels_Quiz-V-FBHIdXk20.mkv/67729-00_03_14-00_03_19/67729-00_03_14-00_03_19.pkl,67729-00_03_14-00_03_19.pkl,150
collection/ruiheadstudio/flame_collections/talkshow/synthetic_aug/aug_pose_mix_04.npy,aug_pose_mix_04,synthetic_aug,0,aug_pose_mix_04::seq_00000,synthetic_medium_04__68891-00_01_40-00_01_46_aug_01,synthetic_medium_04,68891-00_01_40-00_01_46_aug_01,talkshow/ExpressiveWholeBodyDatasetReleaseV1.0/chemistry/2nd_Order_Rate_Laws-6BZb96mqmbg.mp4/68891-00_01_40-00_01_46/68891-00_01_40-00_01_46.pkl,68891-00_01_40-00_01_46.pkl,180
collection/ruiheadstudio/flame_collections/talkshow/synthetic_aug/aug_pose_mix_04.npy,aug_pose_mix_04,synthetic_aug,1,aug_pose_mix_04::seq_00001,synthetic_medium_04__67729-00_03_04-00_03_14_aug_02,synthetic_medium_04,67729-00_03_04-00_03_14_aug_02,talkshow/ExpressiveWholeBodyDatasetReleaseV1.0/chemistry/Ion_Energy_Levels_Quiz-V-FBHIdXk20.mkv/67729-00_03_04-00_03_14/67729-00_03_04-00_03_14.pkl,67729-00_03_04-00_03_14.pkl,300
collection/ruiheadstudio/flame_collections/talkshow/synthetic_aug/aug_pose_mix_04.npy,aug_pose_mix_04,synthetic_aug,2,aug_pose_mix_04::seq_00002,synthetic_medium_04__67729-00_03_14-00_03_19_aug_03,synthetic_medium_04,67729-00_03_14-00_03_19_aug_03,talkshow/ExpressiveWholeBodyDatasetReleaseV1.0/chemistry/Ion_Energy_Levels_Quiz-V-FBHIdXk20.mkv/67729-00_03_14-00_03_19/67729-00_03_14-00_03_19.pkl,67729-00_03_14-00_03_19.pkl,150
